variable,unit,test,control,diff
LANDFRAC,fraction,0.292,0.292,0
OCNFRAC,fraction,0.666,0.664,0.002
SST,K,292.355,292.099,0.256
TS,K,287.689,287.351,0.338
SWCF,W/m2,-46.432,-47.473,1.041
LWCF,W/m2,24.374,24.61,-0.236
PRECT,m/s,3.51e-08,3.49e-08,2e-10
TAUX,N/m2,-0.00616,-0.00605,-0.00011
TAUY,N/m2,-0.00188,-0.00189,1e-05
TGCLDLWP,kg/m2,0.0502,0.0515,-0.0013
PSL,Pa,101107.057,101101.229,5.828
TREFHT,K,286.854,286.517,0.337
